structure,operation,input,size,time_ns
Sorting,PQSort,random,7500,1275420
Sorting,QuickSort,random,7500,1280280
Sorting,MergeSort,random,7500,1520140
Sorting,JavaSort,random,7500,2243600
Sorting,TreapSort,sorted,7500,971660
Sorting,PQSort,sorted,7500,1284640
Sorting,QuickSort,sorted,7500,163818800
Sorting,MergeSort,sorted,7500,699680
Sorting,JavaSort,sorted,7500,30600
Sorting,TreapSort,reverse,7500,829220
Sorting,PQSort,reverse,7500,1062560
Sorting,QuickSort,reverse,7500,116049760
Sorting,MergeSort,reverse,7500,610180
Sorting,JavaSort,reverse,7500,32140
Sorting,TreapSort,partial,7500,1399460
Sorting,PQSort,partial,7500,991860
Sorting,QuickSort,partial,7500,1421480
Sorting,MergeSort,partial,7500,849080
Sorting,JavaSort,partial,7500,871380
Sorting,TreapSort,random,10000,2917980
Sorting,PQSort,random,10000,1999520
Sorting,QuickSort,random,10000,1678100
Sorting,MergeSort,random,10000,2154380
Sorting,JavaSort,random,10000,2570820
Sorting,TreapSort,sorted,10000,1281960
Sorting,PQSort,sorted,10000,1615480
Sorting,QuickSort,sorted,10000,358058200
Sorting,MergeSort,sorted,10000,1702060
Sorting,JavaSort,sorted,10000,53620
Sorting,TreapSort,reverse,10000,1458220
Sorting,PQSort,reverse,10000,1940940
Sorting,QuickSort,reverse,10000,222879260
Sorting,MergeSort,reverse,10000,2041700
Sorting,JavaSort,reverse,10000,74820
Sorting,TreapSort,partial,10000,3457160
Sorting,PQSort,partial,10000,1968180
Sorting,QuickSort,partial,10000,2250960
Sorting,MergeSort,partial,10000,1721740
Sorting,JavaSort,partial,10000,1508880
