structure,operation,input,size,time_ns
Sorting,PQSort,random,7500,1063024
Sorting,QuickSort,random,7500,859709
Sorting,MergeSort,random,7500,1777824
Sorting,JavaSort,random,7500,1661878
Sorting,TreapSort,sorted,7500,539157
Sorting,PQSort,sorted,7500,758648
Sorting,QuickSort,sorted,7500,152487209
Sorting,MergeSort,sorted,7500,661751
Sorting,JavaSort,sorted,7500,20714
Sorting,TreapSort,reverse,7500,513173
Sorting,PQSort,reverse,7500,785101
Sorting,QuickSort,reverse,7500,105546758
Sorting,MergeSort,reverse,7500,721816
Sorting,JavaSort,reverse,7500,36181
Sorting,TreapSort,partial,7500,1063287
Sorting,PQSort,partial,7500,889505
Sorting,QuickSort,partial,7500,1425930
Sorting,MergeSort,partial,7500,917091
Sorting,JavaSort,partial,7500,480436
Sorting,TreapSort,random,10000,2407218
Sorting,PQSort,random,10000,1399697
Sorting,QuickSort,random,10000,1158771
Sorting,MergeSort,random,10000,2405114
Sorting,JavaSort,random,10000,1431742
Sorting,TreapSort,sorted,10000,1127018
Sorting,PQSort,sorted,10000,1529594
Sorting,QuickSort,sorted,10000,273721860
Sorting,MergeSort,sorted,10000,819184
Sorting,JavaSort,sorted,10000,24907
Sorting,TreapSort,reverse,10000,663163
Sorting,PQSort,reverse,10000,1085820
Sorting,QuickSort,reverse,10000,188006109
Sorting,MergeSort,reverse,10000,937507
Sorting,JavaSort,reverse,10000,44011
Sorting,TreapSort,partial,10000,1455095
Sorting,PQSort,partial,10000,1186598
Sorting,QuickSort,partial,10000,1798744
Sorting,MergeSort,partial,10000,1160596
Sorting,JavaSort,partial,10000,614741
