structure,operation,input,size,time_ns
TreeMap,search_hit,sorted,250,70244
TreeMap,search_miss,sorted,250,44682
TreeMap,remove,sorted,250,46037
Treap,insert,reverse,250,77098
Treap,search_hit,reverse,250,97973
Treap,search_miss,reverse,250,50857
Treap,remove,reverse,250,86140
AVL,insert,reverse,250,122160
AVL,search_hit,reverse,250,95005
AVL,search_miss,reverse,250,97954
AVL,remove,reverse,250,113521
TreeMap,insert,reverse,250,65361
TreeMap,search_hit,reverse,250,48212
TreeMap,search_miss,reverse,250,45032
TreeMap,remove,reverse,250,68770
Treap,insert,partial,250,98480
Treap,search_hit,partial,250,68851
Treap,search_miss,partial,250,90266
Treap,remove,partial,250,114488
AVL,insert,partial,250,112213
AVL,search_hit,partial,250,92886
AVL,search_miss,partial,250,67427
AVL,remove,partial,250,105581
TreeMap,insert,partial,250,62932
TreeMap,search_hit,partial,250,57093
TreeMap,search_miss,partial,250,46241
TreeMap,remove,partial,250,83170
Treap,insert,random,500,230232
Treap,search_hit,random,500,235487
Treap,search_miss,random,500,136627
Treap,remove,random,500,311524
AVL,insert,random,500,152108
AVL,search_hit,random,500,80099
AVL,search_miss,random,500,82750
AVL,remove,random,500,222317
TreeMap,insert,random,500,110652
TreeMap,search_hit,random,500,110415
TreeMap,search_miss,random,500,83423
TreeMap,remove,random,500,218840
Treap,insert,sorted,500,172730
Treap,search_hit,sorted,500,164207
Treap,search_miss,sorted,500,121737
Treap,remove,sorted,500,160281
AVL,insert,sorted,500,150159
AVL,search_hit,sorted,500,115024
AVL,search_miss,sorted,500,86239
AVL,remove,sorted,500,87656
TreeMap,insert,sorted,500,72609
TreeMap,search_hit,sorted,500,67679
TreeMap,search_miss,sorted,500,58918
TreeMap,remove,sorted,500,84837
Treap,insert,reverse,500,88875
Treap,search_hit,reverse,500,75155
Treap,search_miss,reverse,500,95754
Treap,remove,reverse,500,107569
AVL,insert,reverse,500,101231
AVL,search_hit,reverse,500,48743
AVL,search_miss,reverse,500,30938
AVL,remove,reverse,500,74691
TreeMap,insert,reverse,500,74688
TreeMap,search_hit,reverse,500,47764
TreeMap,search_miss,reverse,500,49218
TreeMap,remove,reverse,500,72294
Treap,insert,partial,500,122747
Treap,search_hit,partial,500,103454
Treap,search_miss,partial,500,88020
Treap,remove,partial,500,209553
AVL,insert,partial,500,195168
AVL,search_hit,partial,500,64313
AVL,search_miss,partial,500,86365
AVL,remove,partial,500,112638
TreeMap,insert,partial,500,84253
TreeMap,search_hit,partial,500,41616
TreeMap,search_miss,partial,500,35805
TreeMap,remove,partial,500,106290
Treap,insert,random,750,282405
Treap,search_hit,random,750,179266
Treap,search_miss,random,750,97209
Treap,remove,random,750,149729
AVL,insert,random,750,240602
AVL,search_hit,random,750,121287
AVL,search_miss,random,750,43438
AVL,remove,random,750,231446
TreeMap,insert,random,750,157073
TreeMap,search_hit,random,750,106138
TreeMap,search_miss,random,750,58502
TreeMap,remove,random,750,130206
Treap,insert,sorted,750,154278
Treap,search_hit,sorted,750,119374
Treap,search_miss,sorted,750,80409
Treap,remove,sorted,750,74829
AVL,insert,sorted,750,178346
AVL,search_hit,sorted,750,86919
AVL,search_miss,sorted,750,44394
AVL,remove,sorted,750,103737
TreeMap,insert,sorted,750,143848
TreeMap,search_hit,sorted,750,76927
TreeMap,search_miss,sorted,750,67446
TreeMap,remove,sorted,750,98572
Treap,insert,reverse,750,171780
Treap,search_hit,reverse,750,202927
Treap,search_miss,reverse,750,99724
Treap,remove,reverse,750,104502
AVL,insert,reverse,750,169365
AVL,search_hit,reverse,750,84932
AVL,search_miss,reverse,750,64297
AVL,remove,reverse,750,124985
TreeMap,insert,reverse,750,136353
TreeMap,search_hit,reverse,750,72894
TreeMap,search_miss,reverse,750,61532
TreeMap,remove,reverse,750,139398
Treap,insert,partial,750,250257
Treap,search_hit,partial,750,217638
Treap,search_miss,partial,750,97432
Treap,remove,partial,750,119888
AVL,insert,partial,750,146086
AVL,search_hit,partial,750,68851
AVL,search_miss,partial,750,45282
AVL,remove,partial,750,128063
TreeMap,insert,partial,750,129151
TreeMap,search_hit,partial,750,81739
TreeMap,search_miss,partial,750,63248
TreeMap,remove,partial,750,106668
Treap,insert,random,1000,368423
Treap,search_hit,random,1000,238320
Treap,search_miss,random,1000,145009
Treap,remove,random,1000,216117
AVL,insert,random,1000,260845
AVL,search_hit,random,1000,148847
AVL,search_miss,random,1000,63420
AVL,remove,random,1000,252222
TreeMap,insert,random,1000,179814
TreeMap,search_hit,random,1000,138564
TreeMap,search_miss,random,1000,58220
TreeMap,remove,random,1000,190246
Treap,insert,sorted,1000,133581
Treap,search_hit,sorted,1000,167718
Treap,search_miss,sorted,1000,96384
Treap,remove,sorted,1000,95274
AVL,insert,sorted,1000,179828
AVL,search_hit,sorted,1000,90940
AVL,search_miss,sorted,1000,56490
AVL,remove,sorted,1000,98914
TreeMap,insert,sorted,1000,95189
TreeMap,search_hit,sorted,1000,475846
TreeMap,search_miss,sorted,1000,50186
TreeMap,remove,sorted,1000,76014
Treap,insert,reverse,1000,142463
Treap,search_hit,reverse,1000,153987
Treap,search_miss,reverse,1000,71709
Treap,remove,reverse,1000,77726
AVL,insert,reverse,1000,142252
